id,0.0,primary_type,additional_type(s),Neuropils,preference
720575940603727840,8,CB0732,PVLP098,,
720575940603728561,7,BM_Ant,,,
720575940603730144,1,CB1055,,,
720575940603744992,8,SLP450,,,
720575940603765937,5,SA_VTV_4,,,
720575940603766374,1,CB1980,,,
720575940603767473,7,AN_AVLP_GNG_23,,,
720575940603786686,3,DNge117,,,
720575940603789228,3,AN_multi_54,,,
720575940603792352,1,IB044,,,
720575940603792486,3,AN_GNG_163,,,
720575940603801056,3,AN_GNG_AMMC_3,,,
720575940603804350,8,PLP018,,,
720575940603804704,1,CB2081,pIP13,,
720575940603814060,2,AN_AVLP_GNG_23,,,
720575940603817900,8,LPLC1,,,
720575940603825120,2,PVLP008,,,
720575940603827633,8,PVLP008,,,
720575940603829950,3,CB2420,,,
720575940603856352,8,,,,
720575940603874494,1,WED161,,,
720575940603874784,3,DNpe055,PS167,,
720575940603875616,5,CB2921,,,
720575940603877408,6,PLP160,,,
720575940603882174,1,AN_multi_16,,,
720575940603885856,3,CB1418,,,
720575940603889086,1,CB1754,,,
720575940603891936,3,CB1469,,,
720575940603899936,3,CB3587,,,
720575940603903264,1,CB1622,,,
720575940603905312,1,CB3113,,,
720575940603909804,8,LC21,,,
720575940603917158,2,AVLP010,aSP6,,
720575940603918769,1,CB1029,,,
720575940603924512,8,AVLP541a,AVLP541,,
720575940603930046,1,CB1125,aSP18,,
720575940603942828,8,PVLP112a,"PVLP112, pIP7",,
720575940603944672,2,LC9,,,
720575940603952608,8,CB0154,PVLP095,,
720575940603956838,3,CB1772,,,
720575940603957694,6,CB2432,,,
720575940603979488,8,LC41,,,
720575940603980256,3,oviDNb,,,
720575940603981536,2,AVLP048,,,
720575940603989420,2,LPLC2,,,
720575940604009952,1,PS061,,,
720575940604014508,3,PS292,,,
720575940604016608,8,LPLC1,,,
720575940604018208,7,LB3,,,
720575940604021425,3,CB2620,,,
720575940604023724,7,,,,
720575940604027168,5,LB1a,,,
720575940604030566,5,CB2353,,,
720575940604054188,1,JO-B,,,
720575940604056544,8,AVLP218a,AVLP218,,
720575940604058540,2,LC21,,,
720575940604074854,2,CB0125,,,
720575940604079532,3,CB2774,,,
720575940604088288,8,AVLP016,,,
720575940604091308,7,AN_GNG_AVLP_1,,,
720575940604099006,1,CB3865,,,
720575940604100785,8,CB2396,,,
720575940604102880,3,SMP461,,,
720575940604103084,1,DNp33,SAD095,,
720575940604104625,3,PS209,,,
720575940604114604,1,CB3011,aIP2,,
720575940604122982,1,JO-EDM,,,
720575940604125286,8,LC13,,,
720575940604134577,6,CB1207,,,
720575940604139180,1,PLP071,,,
720575940604150560,5,CB0444,,,
720575940604160172,2,AOTU062,pIP14,,
720575940604165856,3,VES007,,,
720575940604167712,1,CB0327,,,
720575940604196064,3,PS034,,,
720575940604201830,1,WV-WV-3,,,
720575940604210976,7,BM_InOm,,,
720575940604211628,5,,,,
720575940604211744,7,BM_InOm,,,
720575940604217534,7,BM_InOm,,,
720575940604222944,8,CB1262,,,
720575940604228454,3,CB1996,,,
720575940604229152,8,LC15,,,
720575940604236768,7,BM_InOm,,,
720575940604241510,7,labial_nerve_sensory_descending,,,
720575940604249824,7,BM_InOm,,,
720575940604250214,1,CB1331,,,
720575940604256102,8,CL091,,,
720575940604257638,7,BM_InOm,,,
720575940604267622,8,AVLP219a,AVLP219,,
720575940604268134,2,CB1466,,,
720575940604272672,7,BM_InOm,,,
720575940604273632,7,BM_InOm,,,
720575940604276652,8,AN_AVLP_PVLP_5,hb-1197455013,,
720575940604281120,2,LC11,,,
720575940604281888,7,BM_InOm,,,
720575940604284128,3,DNpe009,PS226,,
720575940604284337,1,WEDPN7B,,,
720575940604285356,8,CB3513,,PVLP_pr03,intermediate
720575940604292710,8,PLP055,,,
720575940604324017,8,LC6,,,
720575940604330854,6,CB1780,,,
720575940604337696,2,LC16,,,
720575940604340448,7,BM_vOcci_vPoOr,,,
720575940604341216,8,LHPV2e1_a,,,
720575940604364134,1,,,,
720575940604364222,1,CB2149,,,
720575940604367294,7,BM_InOm,,,
720575940604370604,8,PVLP090,,,
720575940604381886,8,LC12,,,
720575940604396209,1,CB1094,,,
720575940604401342,2,LC11,,,
720575940604403628,1,VP5+_l2PN,VP5+VP2_l2PN,,
720575940604404913,7,BM_InOm,,,
720575940604412588,1,M_lPNm11A,,,
720575940604414636,1,VP5+_l2PN,VP5+VP2_l2PN,,
720575940604418988,1,M_spPN5t10,,,
720575940604418993,8,CB2605,,,
720575940604425644,7,BM_Hau,,,
720575940604427180,2,CB3660,,,
720575940604434092,2,CB0340,,,
720575940604445868,2,CB1090,aSP10,AVLP_pr36,pulse
720575940604456364,3,PS213,,,
720575940604456876,2,CB1989,,,
720575940604458668,3,CB0593,,,
720575940604458720,2,CB1618,,,
720575940604459697,5,CB1488,,,
720575940604470240,3,CB0626,hb-5813083315,,
720575940604470956,5,DNg63,,,
720575940604474028,3,LAL104,LAL105,,
720575940604479660,8,PLP173,,,
720575940604481964,3,PS193a,PS193,,
720575940604504748,1,WED100,,,
720575940604517809,1,CB0958,,,
720575940604524465,7,BM_InOm,,,
720575940604531229,1,JO-B,,,
720575940604539825,1,WED102,WED103,,
720575940604543968,8,CL269,,,
720575940604569824,4,AVLP082,,,
