id,0.0,primary_type,additional_type(s),Neuropils,preference
720575940611279736,2,LC17,,,
720575940611282611,2,LC12,,,
720575940611290354,5,AN_FLA_PRW_2,,,
720575940611291249,1,,,,
720575940611292330,8,CB1044,,,
720575940611292622,8,CL029b,CL029,,
720575940611294426,6,CB1678,,,
720575940611297070,8,LTe14,,,
720575940611297433,8,LC18,,,
720575940611297649,3,CB3444,,,
720575940611299793,6,CB2769,,,
720575940611300323,6,AVLP517,,,
720575940611300570,8,LC11,,,
720575940611302883,1,PLP081,,,
720575940611304627,1,CB2669,,,
720575940611308181,1,DNg07,,,
720575940611308261,5,BM_Taste,,,
720575940611313578,1,PLP160,,,
720575940611314346,8,LPLC1,,,
720575940611317618,2,LC40,"LC40a, LC40b",,
720575940611321842,6,CB2599,,,
720575940611324530,7,BM_InOm,,,
720575940611327923,7,BM_InOm,,,
720575940611329137,2,CB1993,,,
720575940611329138,7,BM_InOm,,,
720575940611331251,2,CB2334,,,
720575940611332325,3,LAL186,pIP11,,
720575940611335859,1,CB1969,SAD_pr02,SAD_pr02,sine
720575940611336421,8,LC18,,,
720575940611338866,8,CB0601,,,
720575940611339566,2,LLPt,CB3822,,
720575940611343853,7,BM_MaPa,,,
720575940611344078,8,MBON20,,,
720575940611344858,5,SMP262,,,
720575940611345331,8,PLP188,PLP189,,
720575940611345813,7,BM_Vib,,,
720575940611346917,1,CB1750,,,
720575940611347123,2,PVLP130,,,
720575940611348373,2,LHPV3a2,,,
720575940611349466,7,BM_InOm,,,
720575940611351193,5,,,,
720575940611351267,6,PLP160,,,
720575940611352234,8,LPLC2,,,
720575940611354597,3,PS292,,,
720575940611357081,8,CB3137,,,
720575940611361450,4,AVLP386,,,
720575940611366058,5,CB2065,,,
720575940611367282,3,CB2085,,,
720575940611370958,6,SLP076,,,
720575940611373169,3,AN_GNG_185,,,
720575940611373226,8,LC18,,,
720575940611373262,8,CB3061,,,
720575940611374554,5,CB0555,,,
720575940611374810,8,SLP223,,,
720575940611379186,8,CL266a,CL266,,
720575940611381221,2,CB1109,,,
720575940611384306,1,CB3364,,,
720575940611384946,1,CB1662,,,
720575940611385806,3,LAL018,,,
720575940611385829,7,BM_Ant,,,
720575940611387158,2,LC12,,,
720575940611388141,1,CB3673,B1,B1,pulse
720575940611392986,1,JO-B,,,
720575940611395314,1,CB1292,,,
720575940611397166,2,MTe41,,,
720575940611400470,1,CB1233,,,
720575940611401709,2,AVLP569,pC2lb,,
720575940611401938,3,aMe15,,,
720575940611403226,1,WEDPN2B,,,
720575940611403730,1,ATL030,,,
720575940611404003,8,LC17,,,
720575940611405102,12,MTe46,,,
720575940611405425,2,CL113,,,
720575940611411057,5,CB0653,hb-608166388,,
720575940611415770,8,CL291,,,
720575940611420634,2,AVLP451c,"AVLP451, AVLP/PVLP_pr01",,
720575940611423402,8,CL078a,CL078,,
720575940611423411,2,LC17,,,
720575940611426161,2,CB3514,hb-1481548230,,
720575940611427697,6,AN_AVLP_53,,,
720575940611428761,4,CB1692,,,
720575940611428977,1,SIP064,,,
720575940611429422,6,AVLP420_b,,,
720575940611429489,3,AN_GNG_FLA_3,,,
720575940611434419,8,AVLP205b,AVLP205,,
720575940611436408,5,CB0791,,,
720575940611436913,1,CB1092,,,
720575940611439587,2,LC15,,,
720575940611439786,1,CB3363,pIP13,,
720575940611441265,6,CB2966,,,
720575940611442296,5,CB0152,,,
720575940611444186,2,CB2251,,,
720575940611444633,6,AN_AVLP_53,,,
720575940611462885,1,DNg92_a,,,
720575940611469738,8,CL090_c,,,
720575940611473301,7,BM_InOm,,,
720575940611473305,6,CB3445,,,
720575940611474138,1,SAD015,SAD018,,
720575940611474925,3,DNge102,,,
720575940611475698,5,CB1488,,,
720575940611477873,7,BM_InOm,,,
720575940611478954,6,AVLP306,,,
720575940611494629,2,VES022,aDT5,,
720575940611495642,2,CB1889,,,
720575940611496165,5,CB1829,,,
720575940611496597,8,CB0379,,,
720575940611497898,2,CB2334,,,
720575940611498419,1,DNge111,,,
720575940611498714,6,CB1955,,,
720575940611499669,5,BM_Taste,,,
720575940611499673,8,CB1920,,,
720575940611500762,1,PS095,,,
720575940611501205,7,BM_InOm,,,
720575940611502286,5,CB0572,,,
720575940611503509,8,CB3016,,,
720575940611504370,2,CB3531,,,
720575940611505102,2,AVLP464,,,
720575940611505430,1,CB1744,,,
720575940611507320,3,WED023,,,
720575940611507478,1,CB1918,,,
720575940611509485,3,CL210,,,
720575940611509939,2,CB3488,,,
720575940611509989,1,CB2237,,,
720575940611512690,2,AVLP028,,,
720575940611514261,2,pSP9,,,
720575940611514282,3,AN_multi_101,,,
720575940611516586,3,PS233,,,
720575940611518617,2,LC6,,,
720575940611519667,8,PLP150c,PLP150,,
720575940611521778,8,AVLP121,,,
720575940611528410,7,BM_Fr,,,
720575940611528419,4,CB2350,,,
720575940611530213,2,LT78,,,
720575940611531986,5,DNge002,,,
720575940611532408,8,LTe16,hb-1069607310,,
720575940611535126,7,BM_InOm,,,
720575940611538126,8,,,,
720575940611538355,2,AVLP522,,,
720575940611544854,8,PLP109,PLP112,,
720575940611545011,7,BM_Fr,,,
720575940611548273,5,AN_multi_84,,,
720575940611548878,5,CB0801,,,
720575940611549810,1,CB2192,,,
720575940611549902,5,CB0881,,,
720575940611552370,3,DNge115,,,
720575940611554034,8,CB3349,aIPgb,,
720575940611557017,1,PS117a,PS117,,
720575940611561369,1,CB3162,,,
720575940611561965,8,AVLP049,,,
720575940611562393,1,AN_multi_29,,,
720575940611562675,1,CB3200,,,
720575940611564506,2,LC12,,,
720575940611564979,3,PS097,,,
720575940611566233,1,PS096,,,
720575940611567638,2,LPLC2,,,
720575940611567918,3,PS214,,,
720575940611576050,8,AVLP288,,,
720575940611577493,2,AVLP417,AVLP438,,
720575940611580313,2,LC6,,,
720575940611583218,7,BM_InOm,,,
720575940611588835,1,SAD049,,,
720575940611596467,5,CB1043,,,
720575940611596517,2,AVLP462b,AVLP462,,
720575940611597298,1,CB0758,"B2, aPN_lateral",B2,intermediate
720575940611598003,2,LC12,,,
720575940611602552,8,PVLP122b,PVLP122,,
720575940611603502,6,AN_AVLP_36,,,
720575940611604776,1,CB2023,,,
720575940611604973,8,AVLP186,,,
720575940611606234,6,CB1417,,,
720575940611607779,2,LC16,,,
720575940611610670,1,DNge091,,,
720575940611610737,3,CB0534,,,
720575940611616302,1,CB2891,,,
720575940611619314,4,CB2099,,,
720575940611621166,8,AVLP430,,,
720575940611622002,2,CB1852,aIP3,,
720575940611622826,2,DNpe025,PVLP145,,
720575940611623397,2,LC24,,,
720575940611623630,2,AVLP040,,,
720575940611630194,5,,,,
720575940611633010,3,LT51,aSP29,,
720575940611638258,3,LAL073,,,
720575940611638499,1,WED033,,,
720575940611639445,1,CL128c,CL128,,
720575940611643033,5,,,,
720575940611644402,1,PLP250,,,
720575940611644529,8,DNp06,,,
720575940611648209,2,LHAV1a3,,,
720575940611648229,8,CL090_c,,,
720575940611654570,1,DNge030,,,
720575940611662705,1,WED039,,,
720575940611663218,2,LCe02,LC24,,
720575940611666898,8,VESa2_H02,PLP074,,
720575940611667173,5,mAL,"mAL1, mAL2A, mAL2B, mAL3A, mAL3B, mAL4, mAL5A, mAL5B, mAL6",,
720575940611672538,5,TPMN,,,
720575940611672785,15,CB1753,,,
720575940611674265,1,CB3245,,WED_pr02,intermediate
720575940611674853,2,PVLP101b,PVLP101,,
720575940611678181,5,,,,
720575940611682522,1,CB0598,,,
720575940611683754,8,CL266b,CL266,,
720575940611684787,1,JO-EDM,,,
720575940611686314,8,CL071b,CL071,,
720575940611690477,8,CB1657,,,
720575940611690666,7,BM_InOm,,,
720575940611692467,3,CB1937,,,
720575940611694545,1,CB2593,"AVLP_pr31, aIP2",AVLP_pr31,sine
720575940611697394,3,CB0180,,,
720575940611698073,8,PVLP080a,PVLP080,,
720575940611698674,2,SLP278,,,
720575940611700520,3,DNg12_b,,,
720575940611710322,6,AN_AVLP_34,,,
720575940611713253,1,SMP371,,,
720575940611713634,4,CB1875,,AVLP_pr22,sine
720575940611715813,5,CB0571,,,
720575940611716325,4,CB2599,,,
720575940611719378,3,OA-AL2i4,,,
720575940611720165,8,CB3310,,,
720575940611720690,1,PLP075,,,
720575940611723473,5,TPMN,,,
720575940611728338,1,CB2751,,,
720575940611733288,1,PLP026,PLP027,,
720575940611734370,3,WED151,,,
720575940611735002,1,DNg79,,,
720575940611735514,3,DNa11,VES008,,
720575940611740565,2,SMP313,,,
720575940611740569,8,LPLC2,,,
720575940611740694,8,AVLP026,,,
720575940611746418,3,CL248,,,
720575940611756441,8,AVLP393,AVLP395,,
720575940611756723,5,DNg65,,,
720575940611763097,2,LC21,,,
720575940611764066,8,SMP569b,SMP569,,
720575940611765032,3,AN_GNG_SAD_25,,,
720575940611765201,3,DNge071,,,
720575940611768803,1,CB0961,,,
720575940611772083,3,DNg43,,,
720575940611772514,2,cL16,PLP030,,
720575940611772914,3,AN_IPS_LAL_1,,,
720575940611773041,7,BM_InOm,,,
720575940611775194,7,BM_InOm,,,
720575940611775717,5,AN_GNG_SAD_12,,,
720575940611778713,3,AN_GNG_117,,,
720575940611780648,5,mAL,"mAL1, mAL2A, mAL2B, mAL3A, mAL3B, mAL4, mAL5A, mAL5B, mAL6",,
720575940611782874,5,DNp25,,,
720575940611783410,3,CB2872,,,
720575940611783464,1,JO-EVM,,,
720575940611784817,2,AVLP474,,,
720575940611787493,2,LC16,,,
720575940611788714,2,CB2511,,,
720575940611788970,2,AVLP454_a,,,
720575940611792168,3,CB1469,,,
720575940611792406,1,CB1918,,,
720575940611793817,6,CB2287,,,
720575940611802595,3,CB1937,,,
720575940611807641,4,CB3178,,,
720575940611807795,5,DNge024,,,
720575940611807919,8,CB2986,aIP1,,
720575940611807923,1,WED002c,WED002,,
720575940611810453,3,CB1072,,,
720575940611811704,1,CB0630,hb-5813023379,,
720575940611812050,5,CB0272,,,
720575940611812527,8,CB2676,PVLP_pr03,,
720575940611813842,3,DNge050,,,
720575940611814883,7,BM_InOm,,,
720575940611817779,7,AN_GNG_67,,,
720575940611821334,2,LPLC2,,,
720575940611826073,8,LC15,,,
720575940611828594,1,CB3758,,,
720575940611831603,3,AN_GNG_8,,,
720575940611832490,3,AN_GNG_183,,,
720575940611835955,3,AN_GNG_VES_9,,,
720575940611839155,1,CB1012,,,
720575940611839953,1,WED002e,WED002,,
720575940611843754,3,CB3643,,,
720575940611844210,2,CB1888,,,
720575940611848419,1,CB2859,,,
720575940611848874,1,PS267,"PS268, PS269",,
720575940611849178,5,LB2,,,
720575940611849826,5,CB0834,,,
720575940611852072,1,CB2213,,,
720575940611852339,2,CB1842,,,
720575940611853265,3,AN_GNG_VES_9,,,
720575940611855826,2,LC26,,,
720575940611858906,5,CB3674,,,
720575940611859570,3,CB2126,hb-5813078030,,
720575940611863978,8,AVLP283,,,
720575940611864243,1,CB3710,B1-5,B1,pulse
720575940611867629,2,LHPV2e1_a,,,
720575940611868825,5,SA_MDA_2,,,
720575940611869677,1,CB1192,,,
720575940611869866,4,AVLP423,,,
720575940611871919,1,SA_DLV,,,
720575940611872149,3,AN_multi_86,,,
720575940611872227,1,PS118,,,
720575940611875503,3,SA_DMT_DMetaN_7,,,
720575940611875570,5,LB3,,,
720575940611876338,7,BM_InOm,,,
720575940611877841,1,AN_multi_2,,,
720575940611878258,5,AN_SLP_AVLP_1,,,
720575940611881135,2,SMP578,,,
720575940611881139,3,DNge068,,,
720575940611881395,3,,,,
720575940611881970,3,PS029,,,
720575940611885461,5,CB0018,,,
720575940611886066,1,CB0978,,,
720575940611886554,2,LC21,,,
720575940611888337,1,CB2433,AVLP_pr22,,
720575940611891437,8,PVLP008,,,
720575940611891685,1,CB1092,,,
720575940611894757,1,CB0961,,,
720575940611897837,1,CB0945,,,
720575940611899158,7,BM_InOm,,,
720575940611900968,1,,,,
720575940611904296,1,AN_multi_103,,,
720575940611905177,6,CB0089,,,
720575940611905331,2,LC31a,LC31,,
720575940611905433,3,AN_VES_GNG_8,,,
720575940611910898,7,BM_InOm,,,
720575940611914850,12,PLP231,,,
720575940611920365,8,VES022,aDT5,,
720575940611920435,2,AVLP300_b,,,
720575940611922126,2,LPLC1,,,
720575940611924394,2,SLP059,,,
720575940611926186,2,LC12,,,
720575940611929202,8,AVLP040,,,
720575940611932586,1,AN_multi_17,IB113,,
720575940611932842,6,AN_multi_19,,,
720575940611933138,2,CB1795,,,
720575940611933394,8,CB2514,,,
720575940611934674,8,LC15,,,
720575940611934706,2,CL333,,,
720575940611935667,8,LC15,,,
720575940611937890,2,CB2339,,,
720575940611938001,7,BM_FrOr,,,
720575940611939290,3,DNg12_a,,,
720575940611939314,7,JO-F,,,
720575940611940570,1,LAL187,,,
720575940611942371,8,aSP-f1A,"aSP-f1B, aSP-f2, aSP5",,
720575940611945170,8,LC16,,,
720575940611956197,3,DNg78,,,
720575940611956946,2,CB1906,,,
720575940611957202,2,PVLP074,,,
720575940611957427,1,LHPV2i1b,LHPV2i1,,
720575940611958963,7,BM_InOm,,,
720575940611958994,5,,,,
720575940611961878,8,PVLP111,pIP7,,
720575940611962083,8,PLP181,,,
720575940611965593,3,CB0312,,,
720575940611969906,2,,,,
720575940611972210,6,CB1886,,,
720575940611973749,2,AVLP469b,AVLP469,,
720575940611975338,2,CB1360,,,
720575940611975594,8,AVLP045,,,
720575940611976618,1,DNge111,,,
720575940611981029,3,DNg111,hb-1573072464,,
720575940611981994,1,CB2881,,,
720575940611982322,8,LHPV2c2b,LHPV2c2,,
720575940611986545,1,JO-E,,,
720575940611988197,5,CB0117,,,
720575940611988391,1,CB2475,B1,B1,pulse
720575940611988686,8,AVLP565,,,
720575940611991336,1,PS267,"PS268, PS269",,
720575940611991830,5,CB3035,,,
720575940611997146,3,CB1042,,,
720575940612000022,7,BM_vOcci_vPoOr,,,
720575940612001489,1,AMMC-A1,A1,,
720575940612010137,5,LB3,,,
720575940612010961,1,CB1849,,,
720575940612014120,2,CB0924,,,
720575940612015217,5,CB0656,hb-386829647,,
720575940612015730,3,CB2326,,,
720575940612016498,1,CB3486,,,
720575940612018545,3,AN_multi_102,,,
720575940612019569,5,CB2242,,,
720575940612019683,1,CB0987,,,
720575940612019825,3,DNg12_c,,,
720575940612021475,2,LC9,,,
720575940612023922,2,CB3792,,,
720575940612028017,3,DNge114,,,
720575940612029081,7,BM_Taste,,,
720575940612029297,1,JO-B,,,
720575940612030899,5,CB0746,,,
720575940612031089,2,CB1236,,,
720575940612031129,7,BM_InOm,,,
720575940612031469,8,LT78,,,
720575940612031986,5,VP1m+_lvPN,,,
720575940612033253,3,CB0543,,,
720575940612036837,3,DNg96,,,
720575940612037073,8,LC31a,LC31,,
720575940612039886,1,PLP038,,,
720575940612040419,2,LC24,,,
720575940612041701,1,CB1029,,,
720575940612045352,8,LPLC2,,,
720575940612046286,2,PVLP149,pIP12,,
720575940612049870,2,LC12,,,
720575940612050033,7,AN_GNG_37,,,
720575940612054425,1,CB0533,,,
720575940612058543,1,DNge145,,,
720575940612058861,1,CB2203,,,
720575940612059818,1,CB0958,,,
720575940612060625,1,CB1695,,,
720575940612065394,8,SMP245,,,
720575940612066735,1,CB2169,,,
720575940612071731,3,PS034,,,
720575940612072562,2,CB1565,,,
720575940612074353,1,CB1138,,,
720575940612077938,1,CB2653,,,
720575940612078102,8,LC18,,,
720575940612078511,1,SAD021_c,,WED_pr02,intermediate
720575940612082066,6,CB0927,,,
720575940612082322,6,CB1625,,,
720575940612087758,2,AN_LH_AVLP_1,,,
720575940612093042,8,CB1764,,,
720575940612093351,1,LC4,,,
720575940612093938,2,CL271,,,
720575940612096462,2,LPLC2,,,
720575940612100374,8,LC26,,,
720575940612100837,7,BM_InOm,,,
720575940612102258,1,CB1055,,,
720575940612102769,4,AN_multi_108,,,
720575940612103907,1,LAL064,,,
720575940612105395,4,CB1460,,,
720575940612111843,1,CB2806,,,
720575940612113635,3,PS260,,,
720575940612119758,2,LC25,,,
720575940612125923,8,LC21,,,
720575940612131503,1,WED164a,WED164,,
720575940612131759,1,WED163b,WED163,,
720575940612136666,1,JO-E,,,
720575940612138792,8,CL176,,,
720575940612138927,8,LCe04,,,
720575940612142051,2,LC6,,,
720575940612143075,3,LAL145,,,
720575940612144047,3,CB3560,,,
720575940612146174,1,CB1542,"B1-2, aPN1",B1,pulse
720575940612149362,8,CB3861,"AVLP551, AVLP552",,
720575940612149418,7,BM_InOm,,,
720575940612152930,1,4I0,"CB.FB3, FB3A",,
720575940612153086,1,CB3692,B1,B1,pulse
720575940612153746,2,AVLP096,AVLP256,,
720575940612159411,2,AVLP189_b,,,
720575940612161394,6,AVLP420_a,AVLP427,,
720575940612162769,1,CB2834,,,
720575940612165859,8,LC12,,,
720575940612166063,8,LHPV3a2,,,
720575940612167794,2,M_vPNml65,aDT11,,
720575940612170981,2,AVLP032,,,
720575940612177882,2,SLP223,,,
720575940612181106,4,AVLP423,,,
720575940612182114,2,CB3277,,,
720575940612186265,7,BM_InOm,,,
720575940612188200,4,CB1955,,,
720575940612189480,1,CB2792,,,
720575940612190161,8,LC18,,,
720575940612193682,1,CB3105,,,
720575940612195495,3,AN_GNG_SAD_1,,,
720575940612201586,8,LC16,,,
720575940612202097,6,AVLP543,,,
720575940612203482,1,DNp05,,,
720575940612205938,1,AOTU032,AOTU034,,
720575940612206810,3,DNge034,,,
720575940612208274,8,AVLP523,,,
720575940612208406,5,LB3,,,
720575940612208858,5,CB0792,,,
720575940612211240,4,CB2187,,,
720575940612217818,1,JO-C,,,
720575940612219562,7,BM_InOm,,,
720575940612220071,1,AN_GNG_SAD_31,,,
720575940612221157,5,CL024b,CL024,,
720575940612224754,1,SAD047,,,
720575940612224943,8,LC9,,,
720575940612227441,2,LC6,,,
720575940612227880,3,AOTU015b,"AOTU015, aSP16",,
720575940612235439,1,JO-B,,,
720575940612235747,5,CB1597,,,
720575940612238632,5,SMP258,"SMP259, SMP260, SMP263, SMP264, SMP265",,
720575940612246490,8,IB007,,,
720575940612248794,1,CB0978,,,
720575940612249770,7,BM_InOm,,,
720575940612254701,8,LPLC2,,,
720575940612255914,1,CB2949,,,
720575940612255973,1,WEDPN8B,,,
720575940612256938,5,,,,
720575940612258513,8,LC9,,,
720575940612261603,5,CB3463,,,
720575940612264817,2,AVLP079,,,
720575940612265458,8,AVLP230,,,
720575940612267470,5,CB3534,,,
720575940612267518,4,AN_AVLP_34,,,
720575940612268199,3,AN_GNG_34,,,
720575940612272424,1,PFL1,,,
720575940612273575,1,CB2228,,,
720575940612276322,8,MTe49,hb-1190668746,,
720575940612276963,2,AVLP559c,AVLP559,,
720575940612277090,5,CB3378,,,
720575940612277415,1,CB2309,,,
720575940612279731,1,JO-E,,,
720575940612281086,3,AN_GNG_175,,,
720575940612281907,1,CB2440,,,
720575940612283373,8,SMP106a,"SMP106, aSP25",,
720575940612284569,2,VP1d+VP4_l2PN1,,,
720575940612286899,1,JO-E,,,
720575940612288947,1,DNg07,,,
720575940612289010,5,CB0212,,,
720575940612290019,4,CB1964,,,
720575940612290986,2,CB2258,aIPgb,,
720575940612291426,8,CL234,,,
720575940612292531,3,LAL111,PS060,,
720575940612293730,12,aMe5,,,
720575940612294498,1,CB1786,,,
720575940612294637,2,AVLP462a,AVLP462,,
720575940612296154,3,LPT04_HST,,,
720575940612296677,4,AVLP161,,,
720575940612299571,8,LC12,,,
720575940612302042,1,SMP145,,,
720575940612303102,5,CB1345,,,
720575940612303271,5,AN_GNG_162,,,
720575940612306641,3,CB1342,,,
720575940612306786,7,AN_multi_27,,,
720575940612307478,1,JO-EVM,,,
720575940612307554,2,CB1544,,,
720575940612308776,5,CB3601,,,
720575940612309671,2,AVLP190,AVLP191,,
720575940612311987,3,DNpe003,VES081,,
720575940612312499,7,SA_VTV_6,,,
720575940612313827,8,PVLP081,,,
720575940612315373,7,BM_InOm,,,
720575940612315699,3,PS242,,,
720575940612316514,3,PS041,,,
720575940612317107,3,CB2304,,,
720575940612319155,5,ALIN8,,,
720575940612320739,12,aMe5,,,
720575940612323025,1,LC4,,,
720575940612325807,6,CB3708,,,
720575940612326654,1,SA_DLV,,,
720575940612327091,2,AN_multi_65,,,
720575940612331618,3,AN_multi_38,,,
720575940612335102,6,AN_AVLP_42,,,
720575940612335539,3,DNge071,,,
720575940612335714,2,CL086_e,,,
720575940612337331,3,CB0409,,,
720575940612338674,1,CB1969,,SAD_pr02,sine
720575940612338942,7,BM_InOm,,,
720575940612339123,5,CB3670,,,
720575940612340520,4,CB2202,,,
720575940612341490,1,JO-E,,,
720575940612341683,3,,,,
720575940612341858,8,SMP276,,,
720575940612342550,1,CB2778,WEDPN7A,,
720575940612344306,7,BM_Ant,,,
720575940612344490,8,PLP239,,,
720575940612348950,8,AVLP314,,,
720575940612354034,5,CB0839,,,
720575940612354983,8,LC9,,,
720575940612357618,5,CB0393,,,
720575940612358642,3,AN_multi_14,,,
720575940612364697,8,VES061,pIP5,,
720575940612366322,3,DNge045,,,
720575940612373362,3,AN_GNG_148,,,
720575940612373423,3,DNge094,,,
720575940612374757,8,LHAV2b7_a,,,
720575940612376805,3,DNg21,,,
720575940612380723,1,LC4,,,
720575940612383082,1,AVLP147,,,
720575940612387434,7,CB2820,,,
720575940612387474,3,,,,
720575940612392871,1,CB1260,,,
720575940612396437,2,LC12,,,
720575940612401138,2,AVLP189_a,,,
720575940612403427,8,AVLP008,"vpoIN, aSP8_vpoIN",,
720575940612407581,1,JO-B,,,
720575940612409059,1,AN_multi_49,,,
720575940612409494,4,AVLP091,AVLP_pr35,,
720575940612409885,1,JO-B,,,
720575940612415742,2,CB1101,,,
720575940612416766,7,AN_GNG_200,,,
720575940612418483,1,JO-B,,,
720575940612420118,5,,,,
720575940612422002,7,BM_vOcci_vPoOr,,,
720575940612422579,5,LB3,,,
720575940612422654,6,AN_AVLP_40,,,
720575940612423208,1,CB3805,,,
720575940612423922,5,CB0889,,,
720575940612424232,6,CB2350,,,
720575940612424362,3,LAL013,,,
720575940612427414,3,DNge020,,,
720575940612427670,7,DNg12_e,,,
720575940612429714,1,DNg07,,,
720575940612429822,1,PLP234,,,
720575940612430821,2,CB3869,,,
720575940612434661,2,CB3108,,,
720575940612435353,8,AN_AVLP_54,,,
720575940612436135,6,CB3029,,,
720575940612438514,5,CB0867,,,
720575940612439958,7,BM_InOc,,,
720575940612442419,4,AVLP455,,,
720575940612443890,5,CB0903,,,
720575940612444645,8,CB3092,aSP9,,
720575940612445938,5,LB3,,,
720575940612446866,5,SA_VTV_2,,,
720575940612453526,7,BM_Ant,,,
720575940612461774,1,WED004,,,
720575940612461795,7,BM_InOm,,,
720575940612462307,8,LPLC2,,,
720575940612468130,5,,,,
720575940612469654,3,SA_DMT_DMetaN_7,,,
720575940612469782,3,CB3793,,,
720575940612470755,5,CB0768,,,
720575940612471091,6,CB2498,,,
720575940612471294,8,PVLP133,,,
720575940612474026,8,CL151,,,
720575940612475365,1,CB2308,,,
720575940612477235,2,CB2995,,,
720575940612478181,1,JO-mz,,,
720575940612479205,5,CB0225,,,
720575940612479850,8,CL123,CRE061,,
720575940612486371,8,CB2574,,,
720575940612487118,1,PLP247,,,
720575940612487574,7,SA_VTV_6,,,
720575940612488341,3,DNpe045,DNp23,,
720575940612488419,8,AVLP045,,,
720575940612488910,8,CB3305,,,
720575940612490958,5,SMP550,pSP7,,
720575940612491929,5,SLP437,,,
720575940612497322,2,CB3414,,,
720575940612498129,1,LC4,,,
720575940612498346,5,CL142,,,
720575940612501966,1,CB1599,,,
720575940612503146,1,,,,
720575940612506994,8,CB3390,,,
720575940612508053,2,PVLP020,,,
720575940612508133,5,SA_VTV_PDMN_1,,,
720575940612511894,3,SA_DMT_DMetaN_12,,,
720575940612512146,5,AN_multi_114,,,
720575940612517928,1,CB1622,,,
720575940612518055,1,LC4,,,
720575940612520410,2,LMa1,CB3820,,
720575940612522646,4,AN_AVLP_43,,,
720575940612522961,8,LC12,,,
720575940612523470,2,CB1738,,,
720575940612523571,1,CB1542,"B1-2, aPN1",B1,pulse
720575940612526819,2,M_lvPNm45,,,
720575940612533454,2,CB1932,,,
720575940612534056,7,BM_InOm,,,
720575940612534990,2,CB2402,,,
720575940612537061,3,CB0358,,,
720575940612541235,2,CB2412,,,
720575940612541359,1,,,,
720575940612546991,8,LC12,,,
720575940612547698,7,AN_GNG_127,,,
720575940612549171,1,WED102,WED103,,
720575940612554393,5,CB1597,,,
720575940612556402,5,LB2,,,
720575940612557479,1,WED145,,,
720575940612557994,3,DNp39,PS297,,
720575940612558061,5,CB0740,,,
720575940612559341,2,LC18,,,
720575940612560680,2,LPLC2,,,
720575940612564135,5,CB2811,,,
720575940612566294,6,CB1724,,,
720575940612567449,7,JO-F,,,
720575940612570481,2,LPLC1,,,
720575940612572723,5,CB0270,,,
720575940612574435,5,CB0436,,,
720575940612576227,2,CB1193,,,
720575940612578962,3,AN_GNG_36,,,
720575940612579053,5,LB3,,,
720575940612580067,8,AN_AVLP_GNG_19,,,
720575940612580977,1,LC4,,,
720575940612582514,5,,,,
720575940612584419,6,AVLP098,,,
720575940612585577,1,JO-B,,,
720575940612586151,3,DNge017,,,
720575940612586905,3,AN_multi_98,,,
720575940612598499,4,M_lPNm11A,,,
720575940612599193,5,CB3493,,,
720575940612599215,2,AN_LH_AVLP_1,,,
720575940612599574,2,PVLP074,,,
720575940612603176,2,LC12,,,
720575940612603289,3,DNg75,hb-1874217622,,
720575940612605667,1,M_l2PN10t19a,M_l2PN10t19,,
720575940612606105,5,CB0753,,,
720575940612608790,6,AN_AVLP_51,,,
720575940612612094,2,PVLP151,,,
720575940612612581,5,LB3,,,
720575940612612757,3,CB0080,,,
720575940612615599,6,CB2642,,,
720575940612615833,1,JO-B,,,
720575940612617453,8,LC9,,,
720575940612626538,7,BM_Fr,,,
720575940612626641,3,CB2101,,,
720575940612627106,8,LC9,,,
720575940612628885,8,LC12,,,
720575940612629210,1,DNge088,,,
720575940612631445,2,CB2532,,,
720575940612635050,7,ALIN7,,,
720575940612635117,2,AVLP312a,AVLP312,,
720575940612638866,1,CB2406,,,
720575940612642730,5,,,,
720575940612647166,1,JO-B,,,
720575940612648106,5,DNg67,,,
720575940612649122,1,WED163c,WED163,,
720575940612654334,3,CL208,,,
720575940612654573,8,AVLP055,,,
720575940612662499,1,SAD005,SAD006,,
720575940612665494,8,CB1789,,,
720575940612667414,2,CL111,,,
720575940612669933,6,AN_AVLP_41,,,
720575940612670354,1,CB3195,,,
720575940612670570,5,LB3,,,
720575940612673174,8,AVLP186,,,
720575940612678637,8,M_lvPNm45,,,
720575940612679594,1,JO-E,,,
720575940612682467,1,DNp51,PS296,,
720575940612685162,4,AN_AVLP_34,,,
720575940612686233,5,CB3562,,,
720575940612687597,7,BM_InOm,,,
720575940612692633,5,CB0799,,,
720575940612692889,5,DNg63,,,
720575940612698287,1,DNg110_b,,,
720575940612704209,3,CB3524,,,
720575940612708374,2,CB3660,,,
720575940612709234,8,PVLP036,,,
720575940612710883,1,CB0563,,,
720575940612712354,4,SMP314b,SMP314,,
720575940612713322,7,AN_GNG_188,,,
720575940612714723,1,M_l2PNl22,,,
720575940612717795,3,IB023,,,
720575940612718563,1,AN_multi_28,PS299,,
720575940612721063,6,CB3595,,,
720575940612721770,2,PVLP006,,,
720575940612724195,1,PS220,,,
720575940612726835,2,CB3666,,,
720575940612727665,1,PLP223,,,
720575940612732050,1,CB1046,,,
720575940612732146,8,LPLC1,,,
720575940612737174,8,LC31a,LC31,,
720575940612738197,5,CB2291,,,
720575940612740835,1,CB1786,,,
720575940612752303,1,CB2433,,,
720575940612752611,8,LT82a,LT82b,,
720575940612756399,7,BM_InOm,,,
720575940612763242,7,JO-FVA,,,
